pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,homedest,case_id
2,0,male,57,0,0,219533,12.35,,Q,,,"Glasgow / Bangor, ME",601
2,1,male,34,0,0,248698,13,D56,S,13,,London,602
2,1,female,36,1,0,226875,26,,S,11,,"Warwick, England",603
3,0,male,37,2,0,3101276,7.925,,S,,98,"Ruotsinphytaa, Finland New York, NY",604
3,0,male,22.5,0,0,2698,7.225,,C,,9,,605
3,0,male,20,0,0,6563,9.225,,S,,89,"Oslo, Norway Cameron, WI",606
3,0,male,25,0,0,SOTON/O.Q. 3101312,7.05,,S,,79,Argentina,607
3,0,male,30,0,0,C 7076,7.25,,S,,72,"Asarum, Sweden Brooklyn, NY",608
3,0,male,34.5,0,0,330911,7.8292,,Q,,70,,609
3,0,female,47,1,0,A/5. 3337,14.5,,S,,7,,610
3,0,male,21,0,0,350029,7.8542,,S,,69,,611
3,0,male,40.5,0,0,367232,7.75,,Q,,68,"Aughnacliff, Co Longford, Ireland New York, NY",612
3,0,male,14.5,8,2,CA. 2343,69.55,,S,,67,,613
3,0,female,30.5,0,0,364850,7.75,,Q,,61,,614
3,0,male,18.5,0,0,2682,7.2292,,C,,58,,615
3,0,female,19,1,0,376566,16.1,,S,,53,,616
3,0,male,33,0,0,349241,7.8958,,C,,51,"Austria Niagara Falls, NY",617
3,0,male,30.5,0,0,364499,8.05,,S,,50,,618
3,0,male,22,0,0,14973,8.05,,S,,47,,619
3,0,male,2,3,1,349909,21.075,,S,,4,,620
3,0,male,33,0,0,347062,7.775,,S,,37,,621
3,0,female,14.5,1,0,2665,14.4542,,C,,328,,622
3,0,female,39,0,5,382652,29.125,,Q,,327,,623
3,0,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,,32,,624
3,0,male,18,1,0,3101267,6.4958,,S,,314,,625
3,0,male,45.5,0,0,2628,7.225,,C,,312,,626
3,0,male,25,0,0,348123,7.65,F G73,S,,309,,627
3,0,male,28,0,0,349243,7.8958,,S,,306,,628
3,0,male,26.5,0,0,2656,7.225,,C,,304,,629
3,0,female,18.5,0,0,329944,7.2833,,Q,,299,"Co Cork, Ireland Roxbury, MA",630
3,0,male,32.5,0,0,345775,9.5,,S,,298,,631
3,0,male,33,0,0,7540,8.6542,,S,,285,,632
3,0,male,24.5,0,0,342826,8.05,,S,,284,,633
3,0,male,60.5,0,0,3701,.,,S,,261,,634
3,0,male,32,0,0,C 4001,22.525,,S,,260,"Bergen, Norway",635
3,0,male,18,0,0,2223,8.3,,S,,259,"Windsor, England New York, NY",636
3,0,male,40.5,0,2,A/5. 851,14.5,,S,,255,,637
3,0,female,29,0,4,349909,21.075,,S,,206,,638
3,0,male,55.5,0,0,A.5. 11206,8.05,,S,,201,,639
3,0,male,34,1,1,347080,14.4,,S,,197,"Stanton, IA",640
3,0,male,34.5,0,0,2683,6.4375,,C,,196,,641
3,0,male,16,1,1,C.A. 2673,20.25,,S,,190,"East Providence, RI",642
3,0,male,23.5,0,0,2693,7.2292,,C,,188,,643
3,0,male,40.5,0,0,C.A. 6212,15.1,,S,,187,,644
3,0,male,28.5,0,0,2697,7.2292,,C,,181,,645
3,0,male,34,0,0,363294,8.05,,S,,176,,646
3,0,male,28,0,0,C 4001,22.525,,S,,173,,647
3,0,male,70.5,0,0,370369,7.75,,Q,,171,,648
3,0,male,22,0,0,350052,7.7958,,S,,156,,649
3,0,male,,0,0,1222,7.8792,,S,,153,,650
3,0,male,34,0,0,3101264,6.4958,,S,,143,,651
3,0,male,40,1,5,347077,31.3875,,S,,142,"Sweden  Worcester, MA",652
3,0,male,28.5,0,0,54636,16.1,,S,,14,,653
3,0,male,27,0,0,315154,8.6625,,S,,131,,654
3,0,male,42,0,0,348121,7.65,F G63,S,,120,,655
3,0,male,50,1,0,A/5. 3337,14.5,,S,,119,,656
3,0,male,26,0,0,341826,8.05,,S,,103,"Bournemouth, England",657
3,0,male,11.5,1,1,A/5. 851,14.5,,S,,1,,658
3,0,female,41,0,5,3101295,39.6875,,S,,,,659
3,0,male,18,1,0,2680,14.4542,,C,,,Greece,660
3,0,male,,0,0,349253,7.8958,,C,,,,661
3,0,male,,0,0,A./5. 3235,8.05,,S,,,,662
3,0,female,48,1,3,W./C. 6608,34.375,,S,,,"Rotherfield, Sussex, England Essex Co, MA",663
3,0,male,21,0,0,SOTON/OQ 3101317,7.25,,S,,,,664
3,0,male,14,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",665
3,0,female,29,0,0,3101297,7.925,,S,,,,666
3,0,female,21,2,2,W./C. 6608,34.375,,S,,,"Rotherfield, Sussex, England Essex Co, MA",667
3,0,male,34,0,0,364506,8.05,,S,,,,668
3,0,female,31,0,0,350407,7.8542,,S,,,,669
3,1,male,9,0,2,363291,20.525,,S,C D,,"Strood, Kent, England Detroit, MI",670
3,0,female,39,1,5,347082,31.275,,S,,,"Sweden Winnipeg, MN",671
3,0,female,28,0,0,347086,7.775,,S,,,,672
3,1,female,18,0,1,392091,9.35,,S,13,,"London, England Norfolk, VA",673
3,0,male,31,0,0,335097,7.75,,Q,,,"Ireland Brooklyn, NY",674
3,0,male,31,0,0,21332,7.7333,,Q,,,"Philadelphia, PA",675
3,0,male,21,0,0,364858,7.75,,Q,,,"Ireland Philadelphia, PA",676
3,0,male,39,0,0,A/4 48871,24.15,,S,,,,677
3,0,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,,,Portugal,678
3,0,male,44,0,0,364511,8.05,,S,,,,679
3,1,male,21,0,0,350053,7.7958,,S,13,,,680
3,0,male,,0,0,366713,7.75,,Q,,,,681
3,0,male,35,0,0,STON/O 2. 3101273,7.125,,S,,,,682
3,1,female,18,0,0,3101265,7.4958,,S,16,,,683
3,1,male,,1,1,2668,22.3583,,C,C,,,684
3,0,male,18,0,0,347078,7.75,,S,,,,685
3,1,female,22,1,1,3101298,12.2875,,S,15,,,686
3,1,female,,0,0,330959,7.8792,,Q,,,,687
3,0,male,,0,0,367655,7.7292,,Q,,,,688
3,0,male,43,0,0,A/5 3536,8.05,,S,,,,689
3,1,male,12,1,0,2651,11.2417,,C,C,,,690
3,1,female,15,0,0,330923,8.0292,,Q,,,,691
3,0,male,,0,0,SOTON/OQ 392082,8.05,,S,,,,692
3,0,male,,0,0,394140,6.8583,,Q,,,,693
3,0,male,,0,0,2631,7.225,,C,,,,694
3,0,female,10,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",695
3,1,male,24,0,0,S.O./P.P. 752,7.55,,S,D,,"England Albion, NY",696
3,0,male,22,0,0,A/5 21174,7.25,,S,,,,697
3,0,male,43,0,0,349226,7.8958,,S,,,,698
3,1,male,25,0,0,2654,7.2292,F E57,C,10,,,699
3,0,male,33,0,0,345780,9.5,,S,,,,700
3,0,male,11,0,0,2699,18.7875,,C,,,,701
3,0,male,20,0,0,347466,7.8542,,S,,,"Sweden Chicago, IL",702
3,0,male,22,0,0,STON/O 2. 3101275,7.125,,S,,,,703
3,0,male,,0,0,334912,7.7333,,Q,,,,704
3,0,male,,1,0,65304,19.9667,,S,,,,705
3,0,female,45,1,4,347088,27.9,,S,,,,706
3,0,male,28,0,0,347464,7.8542,,S,,,,707
3,0,male,,0,0,A/5 2817,8.05,,S,,,,708
3,0,male,24,0,0,349911,7.775,,S,,,"Sweden Joliet, IL",709
3,1,male,3,1,1,C.A. 37671,15.9,,S,2,,"England Brooklyn, NY",710
3,0,male,27,0,0,315083,8.6625,,S,,,,711
3,0,female,45,0,0,347073,7.75,,S,,,,712
3,0,male,18,0,0,347090,7.75,,S,,,"Stockholm, Sweden New York",713
3,0,male,2,4,1,3101295,39.6875,,S,,,,714
3,0,male,30,1,0,A/5. 3336,16.1,,S,,,,715
3,1,female,15,0,0,2667,7.225,,C,C,,,716
3,0,male,8,4,1,382652,29.125,,Q,,,,717
3,0,male,1,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",718
3,1,female,22,0,0,7548,8.9625,,S,C,,,719
3,0,male,40,0,0,2623,7.225,,C,,,,720
3,0,male,25,0,0,374887,7.25,,S,B,,,721
3,0,male,21,0,0,A/4 45380,8.05,,S,,,,722
3,0,female,,0,0,W./C. 6609,7.55,,S,,,,723
3,0,male,23,1,0,347072,13.9,,S,,,"West Haven, CT",724
3,0,male,10,3,2,347088,27.9,,S,,,,725
3,1,male,39,0,0,STON/O 2. 3101289,7.925,,S,9,,,726
3,1,female,30,0,0,364516,12.475,,S,13,,"Union Hill, NJ",727
3,0,male,26,1,0,2680,14.4542,,C,,,Greece,728
3,0,female,,0,0,330909,7.6292,,Q,,,,729
3,0,male,65,0,0,336439,7.75,,Q,,,,730
3,1,female,33,1,2,C.A. 2315,20.575,,S,10,,"Devon, England Wichita, KS",731
3,1,male,22,0,0,2658,7.225,,C,13 15,,,732
3,1,female,2,0,1,3101298,12.2875,,S,15,,,733
3,0,female,32,1,1,364849,15.5,,Q,,,"Ireland Chicago, IL",734
3,0,male,29,0,0,STON/O 2. 3101268,7.925,,S,,,,735
3,1,male,20,1,1,2653,15.7417,,C,C,,,736
3,0,male,,0,0,349255,7.8958,,C,,,,737
3,0,male,,1,9,CA. 2343,69.55,,S,,,,738
3,0,male,22,0,0,347065,7.775,,S,,,,739
3,0,male,27,1,0,2659,14.4542,,C,C,,,740
3,0,male,,1,2,W./C. 6607,23.45,,S,,,,741
3,0,male,24,1,0,376566,16.1,,S,,,,742
3,1,female,,0,0,370370,7.75,,Q,15,,,743
3,0,male,,0,0,384461,7.75,,Q,,,,744
3,1,female,38,0,0,2688,7.2292,,C,C,,,745
3,0,male,33,0,0,347465,7.8542,,S,,,,746
3,0,male,25,0,0,349203,7.8958,,S,,,"Bulgaria Chicago, IL",747
3,0,male,28,0,0,350042,7.7958,,S,,,"Dagsas, Sweden Fower, MN",748
3,0,female,6,4,2,347082,31.275,,S,,,"Sweden Winnipeg, MN",749
3,0,male,,1,0,370365,15.5,,Q,,,,750
3,0,male,,0,0,315037,8.6625,,S,,,,751
3,0,male,32,1,0,3101278,15.85,,S,D,,"Ruotsinphytaa, Finland New York, NY",752
3,0,male,,1,0,386525,16.1,,S,,,"Liverpool, England Bedford, OH",753
3,0,male,24,0,0,371109,7.25,,Q,,,"Co Limerick, Ireland Sherbrooke, PQ",754
3,0,male,29,0,0,7545,9.4833,,S,,,,755
3,1,female,1,1,1,347742,11.1333,,S,15,,,756
3,1,female,,0,0,383123,7.75,,Q,15 16,,,757
3,0,male,16,0,0,347074,7.775,,S,,,"Karberg, Sweden Jerome Junction, AZ",758
3,0,female,,1,2,W./C. 6607,23.45,,S,,,,759
3,1,female,23,0,0,347469,7.8542,,S,10,,,760
3,0,male,,0,0,368323,6.95,,Q,,,,761
3,1,male,7,1,1,2650,15.2458,,C,C,,,762
3,1,male,16,0,0,SOTON/OQ 392089,8.05,,S,B,,,763
3,0,male,29,0,0,343276,8.05,,S,,,,764
3,0,female,,8,2,CA. 2343,69.55,,S,,,,765
3,1,male,19,0,0,A/5. 10482,8.05,,S,B,,"England Oglesby, IL",766
3,1,female,,0,0,14311,7.75,,Q,D,,,767
3,0,male,,0,0,2629,7.2292,,C,,,,768
3,0,male,15,1,1,2695,7.2292,,C,,,Syria,769
3,0,male,9,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",770
3,1,female,,0,0,334915,7.7208,,Q,13,,,771
3,0,male,,0,0,349208,7.8958,,S,,,,772
3,0,male,21,0,0,8475,8.4333,,S,,,,773
3,0,female,20,0,0,315096,8.6625,,S,,,,774
3,0,female,8,3,1,349909,21.075,,S,,,,775
3,0,female,27,0,0,330844,7.8792,,Q,,,"New York, NY",776
3,1,male,,0,0,1601,56.4958,,S,13,,"Hong Kong New York, NY",777
3,0,female,22,0,0,7552,10.5167,,S,,,"Norrlot, Sweden Chicago, IL",778
3,1,female,22,0,0,334914,7.725,,Q,13,,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY",779
3,0,male,,0,0,349220,7.8958,,S,,,,780
3,0,male,16,2,0,345764,18,,S,,,,781
3,0,male,16,4,1,3101295,39.6875,,S,,,,782
3,0,male,21,1,0,3101266,6.4958,,S,,,,783
3,0,male,,0,0,383121,7.75,F38,Q,,,,784
3,0,female,45,0,1,2691,14.4542,,C,,,"Syria Ottawa, ON",785
3,1,male,,0,0,3470,7.8875,,S,C,,,786
3,0,female,16,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",787
3,0,male,,8,2,CA. 2343,69.55,,S,,,,788
3,0,male,,1,0,367229,7.75,,Q,,,,789
3,0,male,,0,0,A/5 1478,8.05,,S,,,"Bridgwater, Somerset, England",790
3,1,female,,0,0,2626,7.2292,,C,,,,791
3,1,female,27,0,1,392096,12.475,E121,S,14,,,792
3,0,male,28,0,0,363611,8.05,,S,,,,793
3,0,male,,0,0,349254,7.8958,,C,,,,794
3,1,female,,0,0,14313,7.75,,Q,D,,,795
3,1,female,,0,0,2649,7.225,,C,C,,,796
3,0,female,22,2,0,315152,8.6625,,S,,,,797
3,1,female,16,0,0,35851,7.7333,,Q,16,,"Co Longford, Ireland New York, NY",798
3,1,female,.75,2,1,2666,19.2583,,C,C,,"Syria New York, NY",799
3,0,female,37,0,0,368364,7.75,,Q,,,"Co Sligo, Ireland Hartford, CT",800
3,0,male,28,0,0,345783,9.5,,S,,,,801
3,0,male,27,0,0,2670,7.225,,C,,,,802
3,1,female,23,0,0,CA. 2314,7.55,,S,C,,,803
3,0,female,37,0,0,4135,9.5875,,S,,,,804
3,1,male,,0,0,368783,7.75,,Q,,,,805
3,0,male,11,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",806
3,1,female,16,0,0,348125,7.65,,S,16,,"Norway Los Angeles, CA",807
3,0,male,17,0,0,315090,8.6625,,S,,,Austria-Hungary,808
3,1,male,25,0,0,350033,7.7958,,S,13 15,,,809
3,1,male,3,4,2,347077,31.3875,,S,15,,"Sweden Worcester, MA",810
3,0,male,20,0,0,SOTON/O2 3101287,7.925,,S,,,"Salo, Finland Astoria, OR",811
3,1,male,27,0,0,347089,6.975,,S,15,,,812
3,0,male,,0,0,330979,7.8292,,Q,,,,813
3,1,female,,0,0,330932,7.7875,,Q,13,,,814
3,0,male,17,2,0,A/4 48873,8.05,,S,,,"West Bromwich, England Pontiac, MI",815
3,0,male,,0,0,349235,7.8958,,S,,,,816
3,1,female,,0,0,330931,7.8792,,Q,13,,,817
3,0,male,28,0,0,C 4001,22.525,,S,,,,818
3,0,male,19,0,0,349231,7.8958,,S,,,Austria,819
3,1,female,,0,0,36568,15.5,,Q,16,,,820
3,0,male,4,4,2,347082,31.275,,S,,,"Sweden Winnipeg, MN",821
3,1,female,,1,0,370365,15.5,,Q,,,,822
3,0,male,,0,0,349218,7.8958,,S,,,,823
3,0,male,20,0,0,345769,9.5,,S,,,,824
3,0,female,,8,2,CA. 2343,69.55,,S,,,,825
3,1,female,1,0,2,2653,15.7417,,C,C,,,826
3,0,male,19,0,0,349205,7.8958,,S,,,,827
3,1,female,,0,0,335677,7.75,,Q,13,,"Co Clare, Ireland Washington, DC",828
3,0,male,27,0,0,349219,7.8958,,S,,,"Bulgaria Chicago, IL",829
3,0,male,18,2,2,W./C. 6608,34.375,,S,,,"Rotherfield, Sussex, England Essex Co, MA",830
3,1,male,25,0,0,348122,7.65,F G63,S,A,,"Perkins County, SD",831
3,0,male,74,0,0,347060,7.775,,S,,,,832
3,1,male,25,0,0,LINE,0,,S,15,,,833
3,0,male,39,0,0,3101296,7.925,,S,,,,834
3,0,male,38,0,0,349249,7.8958,,S,,,,835
3,1,female,30,0,0,382650,6.95,,Q,15,,"Co Athlone, Ireland New York, NY",836
3,0,male,30,0,0,349246,7.8958,,S,,,,837
3,0,male,51,0,0,347064,7.75,,S,,,,838
3,0,male,17,0,0,315093,8.6625,,S,,,,839
3,0,male,32,0,0,STON/OQ. 369943,8.05,,S,,,,840
3,0,male,25,1,0,349237,17.8,,S,,,"Altdorf, Switzerland",841
3,0,male,31,3,0,345763,18,,S,,,,842
3,0,male,17,0,0,315095,8.6625,,S,,,,843
3,0,male,20,0,0,A/5. 2151,8.05,,S,,,,844
3,0,female,29,1,1,347054,10.4625,G6,S,,,,845
3,0,male,,0,0,36568,15.5,,Q,,,,846
3,0,female,2,1,1,370129,20.2125,,S,,,,847
3,0,female,27,1,0,STON/O2. 3101270,7.925,,S,,,,848
3,0,male,28,2,0,3101277,7.925,,S,,,"Ruotsinphytaa, Finland New York, NY",849
3,0,male,18,0,0,315091,8.6625,,S,,,,850
3,0,male,,0,0,2684,7.225,,C,,,,851
3,1,male,26,0,0,1601,56.4958,,S,14,,,852
3,0,female,2,4,2,347082,31.275,,S,,,"Sweden Winnipeg, MN",853
3,0,male,51,0,0,347743,7.0542,,S,,,,854
3,0,male,41,0,0,SOTON/O.Q. 3101263,7.85,,S,,,"Philadelphia, PA",855
3,1,female,22,1,0,347072,13.9,,S,16,,"West Haven, CT",856
3,0,male,19,0,0,348124,7.65,F G73,S,,,,857
3,0,female,17,0,0,AQ/3. 30631,7.7333,,Q,,,,858
3,1,female,19,1,1,2653,15.7417,,C,C,,,859
3,0,male,36,0,0,LINE,0,,S,,,,860
3,0,male,7,4,1,382652,29.125,,Q,,,,861
3,0,male,,0,0,2622,7.2292,,C,,,,862
3,1,female,,0,0,330919,7.8292,,Q,13,,,863
3,0,male,,0,0,370372,7.75,,Q,,,,864
3,0,male,38,0,0,315089,8.6625,,S,,,Croatia,865
3,0,male,,3,1,4133,25.4667,,S,,,,866
3,0,male,26,0,0,349248,7.8958,,S,,,,867
3,0,male,,0,0,372622,7.75,,Q,,,,868
3,0,male,,0,0,SOTON/O.Q. 3101305,7.05,,S,,,,869
3,0,male,40,1,1,364849,15.5,,Q,,,"Ireland Chicago, IL",870
3,1,female,,1,0,386525,16.1,,S,16,,"Liverpool, England Bedford, OH",871
3,0,male,17,0,0,349232,7.8958,,S,,,,872
3,1,female,,2,0,367226,23.25,,Q,16,,,873
3,0,male,17,1,0,350048,7.0542,,S,,,,874
3,1,female,22,0,0,347085,7.775,,S,C,,,875
3,0,male,28,0,0,349207,7.8958,,S,,,,876
3,0,female,3,1,1,SOTON/O.Q. 3101315,13.775,,S,,,,877
3,1,female,27,0,0,STON/O2. 3101283,7.925,,S,,,,878
3,1,female,17,0,1,371362,16.1,,S,12,,"Bournemouth, England Newark, NJ",879
3,0,male,19,0,0,365222,6.75,,Q,,,"Co Cork, Ireland Charlestown, MA",880
3,0,male,6,1,1,2678,15.2458,,C,,,"Syria Kent, ON",881
3,0,male,,0,0,374746,8.05,,S,,,,882
3,1,male,,0,0,312991,7.775,,S,B,,,883
3,0,male,19,0,0,347069,7.775,,S,,,"Myren, Sweden New York, NY",884
3,0,female,23,0,0,STON/O2. 3101290,7.925,,S,,,,885
3,0,male,23,0,0,SOTON/O.Q. 3101309,7.05,,S,,,,886
3,1,male,45,0,0,7598,8.05,,S,15,,"Australia Fingal, ND",887
3,0,female,,0,0,370368,7.75,,Q,,,,888
3,0,female,,8,2,CA. 2343,69.55,,S,,,,889
3,0,male,30,0,0,A.5. 18509,8.05,,S,,,,890
3,1,male,,0,0,SOTON/O.Q. 3101308,7.05,,S,15,,"Italy Philadelphia, PA",891
3,1,female,18,0,0,A/4 31416,8.05,,S,C,,"London Skanteales, NY",892
3,0,male,36,0,0,349247,7.8958,,S,,,,893
3,0,male,20.5,0,0,A/5 21173,7.25,,S,,,,894
3,0,male,42,0,0,315088,8.6625,,S,,,,895
3,0,female,,1,0,2660,14.4542,,C,,,,896
3,0,male,5,4,2,347077,31.3875,,S,,,"Sweden  Worcester, MA",897
3,0,female,18,1,0,349237,17.8,,S,,,"Altdorf, Switzerland",898
3,0,male,33,0,0,A./5. 3338,8.05,,S,,,,899
3,1,female,22,0,0,C 7077,7.25,,S,13,,,900
3,0,female,25,1,0,STON/O2. 3101271,7.925,,S,,,,901
3,1,female,,0,0,36866,7.7375,,Q,16,,,902
3,1,female,,0,0,335432,7.7333,,Q,13,,,903
3,0,male,10,4,1,382652,29.125,,Q,,,,904
3,0,male,27,0,0,349229,7.8958,,S,,,Austria,905
3,0,female,,0,0,330935,8.1375,,Q,,,,906
3,0,male,18,1,1,370129,20.2125,,S,,,,907
3,1,female,,0,0,9234,7.75,,Q,16,,,908
3,0,female,,0,4,4133,25.4667,,S,,,,909
3,0,female,26,0,2,SOTON/O.Q. 3101315,13.775,,S,,,,910
3,0,male,32,0,0,STON/O 2. 3101292,7.925,,S,,,,911
3,0,female,20,0,0,347471,7.8542,,S,,,"Medeltorp, Sweden Chicago, IL",912
3,0,male,,0,0,Fa 265302,7.3125,,S,,,,913
3,1,female,,0,2,2668,22.3583,,C,D,,,914
3,0,male,22,0,0,2669,7.2292,,C,,,,915
3,1,female,31,0,0,349244,8.6833,,S,,,,916
3,0,male,,8,2,CA. 2343,69.55,,S,,,,917
3,0,female,21,0,0,315087,8.6625,,S,,,,918
3,0,male,,0,0,349221,7.8958,,S,,,,919
3,0,female,30,1,0,349910,15.55,,S,A,,,920
3,0,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,,,,921
3,0,male,24,0,0,7266,9.325,,S,,,,922
3,0,male,39,1,5,347082,31.275,,S,,,"Sweden Winnipeg, MN",923
3,0,male,17,1,1,2690,7.2292,,C,,,,924
3,0,female,,1,0,2665,14.4542,,C,,,,925
3,1,male,,0,0,1601,56.4958,,S,C,,,926
3,0,male,,0,0,349225,7.8958,,S,,,"Bulgaria Coon Rapids, IA",927
3,0,male,,0,0,2641,7.2292,,C,,,,928
3,0,male,24,2,0,A/4 48871,24.15,,S,,,"West Bromwich, England Pontiac, MI",929
3,0,male,,1,0,65303,19.9667,,S,,,,930
3,0,male,,0,0,36865,7.7375,,Q,,,,931
3,1,male,21,0,0,350034,7.7958,,S,A,,,932
3,1,male,25,1,0,347083,7.775,,S,15,,,933
3,0,male,25,0,0,2672,7.225,,C,,,,934
3,0,female,,1,9,CA. 2343,69.55,,S,,,,935
3,1,male,,0,0,368402,7.75,,Q,B,,,936
3,0,male,40,1,4,347088,27.9,,S,,,,937
3,0,female,3,3,1,349909,21.075,,S,,,,938
3,0,female,9,4,2,347082,31.275,,S,,,"Sweden Winnipeg, MN",939
3,0,female,38,4,2,347091,7.775,,S,,,"Vadsbro, Sweden Ministee, MI",940
3,1,male,21,0,0,330920,7.8208,,Q,13,,"Kingwilliamstown, Co Cork, Ireland New York, NY",941
3,1,male,21,0,0,345501,7.775,,S,15,,,942
3,0,male,,0,0,330877,8.4583,,Q,,,,943
3,0,male,,0,0,349217,7.8958,,S,,,,944
3,1,female,13,0,0,2687,7.2292,,C,C,,"Syria Youngstown, OH",945
3,0,male,,1,0,367227,7.75,,Q,,,,946
3,0,male,,0,0,376563,8.05,,S,,,,947
3,0,male,,0,0,349201,7.8958,,S,,,,948
3,1,female,18,0,0,4138,9.8417,,S,15,,,949
3,1,female,4,1,1,PP 9549,16.7,G6,S,13,,,950
3,0,male,38,0,0,SOTON/O.Q. 3101306,7.05,,S,,,Portugal,951
3,0,male,,0,0,392092,8.05,,S,,,,952
